name,tm,nat,age,pos,cm,kg,app,min,G,A,yel,red,spG,pa%,aerWon,moM,tac,int,fouls,offW,clear,drbP,blcks,ownG,KP,drb,fouled,cOff,disp,unsT,avgP,crosses,longB,thrB
Jack Wilshere,West Ham,eng,27,M(CLR),172,68,4(4),389,-,1,2,-,0.3,89.8,0.3,-,0.9,0.9,0.9,-,-,0.5,0.1,-,0.6,1.9,1.5,-,0.9,0.4,27,-,1.9,-
Fabián Balbuena,West Ham,py,27,D(C),188,82,23,2014,1,-,2,-,0.8,79.4,3,1,1.7,2.3,0.8,0.6,7.5,1.1,0.6,-,0.1,-,0.2,-,0.1,0.2,36.2,-,2.2,-
Felipe Anderson,West Ham,br,26,"M(CLR),FW",175,70,36,3054,9,4,3,-,1.6,76,0.3,6,2.5,1.1,0.8,-,0.3,1.9,-,-,1.8,2.1,1.4,0.1,1.5,2.7,46.3,0.9,2.4,0.3
Aaron Cresswell,West Ham,eng,29,"D(CL),M(L)",170,66,18(2),1591,-,1,1,-,0.6,81.4,1.3,-,1.5,1.2,0.1,0.4,2.1,0.6,0.4,-,0.9,0.3,0.6,0.1,0.3,0.7,40.6,0.8,1.5,-
Xande Silva,West Ham,pt,22,Forward,177,69,0(1),17,-,-,-,-,2,75,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,4,-,-,-
Angelo Ogbonna,West Ham,it,31,D(C),191,86,20(4),1871,1,1,2,-,0.6,83.6,3.2,-,1.3,1.5,0.6,1,4.1,0.4,0.8,-,0.2,-,0.3,-,0.2,0.2,33.1,-,1.8,-
Manuel Lanzini,West Ham,ar,26,AM(CLR),167,59,8(2),689,1,1,2,-,1.1,89.6,0.3,-,1.2,0.9,0.5,-,0.7,1.3,0.1,-,0.5,1.3,0.7,-,1.2,1.5,45.2,0.2,0.9,-
Declan Rice,West Ham,eng,20,"D(C),DMC",185,76,34,3005,2,-,4,-,0.6,86.4,1.6,2,2.9,1.5,0.5,-,1.6,1.5,0.4,-,0.3,0.8,0.2,-,0.6,0.6,44.6,-,2.9,-
Lukasz Fabianski,West Ham,pl,34,GK,190,83,38,3420,-,-,-,-,-,49.7,0.3,1,-,-,-,-,0.7,0.1,-,-,0.1,0.1,0.2,-,-,-,28.2,-,8.5,-
Ryan Fredericks,West Ham,eng,26,"D(R),M(R)",181,74,12(3),1086,1,-,5,-,0.3,70.9,1.3,1,2.5,0.9,0.6,0.3,2.6,0.7,0.3,-,0.2,0.8,0.7,0.1,0.1,0.6,29.1,0.3,0.9,-
Issa Diop,West Ham,fr,22,D(C),194,92,33,2970,1,-,4,-,0.4,86,2.3,1,2.1,1.9,0.5,1.1,4.7,0.6,1.1,1,0.1,0.2,0.5,0.1,-,0.4,34.4,-,1.6,-
Michail Antonio,West Ham,eng,29,"D(R),M(CLR),FW",180,82,22(11),2101,6,4,3,-,2,68.1,2.4,2,0.7,0.5,1,0.1,0.6,0.2,0.1,-,0.7,1.8,1.3,0.3,2.1,2.5,20.2,0.2,0.8,0.1
Pablo Zabaleta,West Ham,ar,34,"D(R),DMC,M(R)",176,74,23(3),2092,-,1,4,-,0.3,76.7,1.8,-,1.8,1.8,0.7,0.3,3.3,1,0.6,-,0.3,0.5,1.2,-,0.5,0.7,33.1,0.3,1.4,-
Pedro Obiang,West Ham,es,27,DMC,185,75,12(12),1121,-,1,-,-,0.6,80,0.7,-,1.7,0.5,0.5,0.1,0.6,1,0.4,-,0.3,0.3,0.5,0.1,0.2,0.5,22.3,0.1,2,-
Arthur Masuaku,West Ham,cd,25,"D(L),M(L)",179,70,19(4),1758,-,1,2,-,0.2,83.3,0.9,1,2.5,1.6,0.7,0.7,2.4,1.1,0.3,-,0.6,1.6,0.2,-,1.2,1,38.3,0.2,2.2,-
Stefano Okaka,Watford,it,29,FW,186,82,0(2),22,-,-,1,-,1,71.4,0.5,-,-,-,0.5,-,-,-,-,-,1,0.5,0.5,-,0.5,0.5,7,-,-,-
Troy Deeney,Watford,eng,31,FW,183,90,28(4),2548,9,5,4,1,2,60.7,6.5,4,0.8,0.2,1.3,-,0.9,0.8,0.1,-,1.3,0.2,1.1,0.4,1.1,1.9,25.8,0.1,0.4,0.1
Marc Navarro,Watford,es,24,D(R),188,79,1(1),85,-,-,-,-,-,82.6,-,-,2,-,0.5,-,1,0.5,-,-,-,0.5,-,-,-,-,11.5,0.5,0.5,-
Ben Wilmot,Watford,eng,19,Defender,188,80,0(2),26,-,-,-,-,-,66.7,-,-,-,-,-,-,0.5,0.5,0.5,-,-,-,-,-,-,-,4.5,-,1.5,-
Andre Gray,Watford,eng,28,FW,178,83,13(16),1362,7,2,2,-,1.2,65.7,0.6,-,0.1,0.1,0.4,-,0.1,0.2,-,-,0.5,0.3,0.3,0.5,0.7,1.9,8.1,0.1,0.1,-
Tom Cleverley,Watford,eng,29,M(CLR),175,67,4(9),472,1,-,2,-,0.3,78.7,0.3,-,1.3,0.4,0.6,-,0.8,1.2,-,-,0.1,0.1,0.3,0.1,0.3,0.4,17,0.1,0.9,-
Abdoulaye Doucouré,Watford,fr,26,M(C),184,75,34(1),3062,5,6,7,-,1.5,83.5,1.2,-,2,1,1,-,1.5,1.1,0.2,1,1.1,0.9,0.4,0.1,1.2,1.7,55.4,0.1,1.7,0.1
Kiko Femenía,Watford,es,28,"D(R),M(R)",176,61,22(7),2046,1,1,1,-,0.2,83.1,0.4,-,1.7,1.2,0.4,0.2,2.2,0.9,0.2,-,0.4,0.4,0.5,0.1,0.4,0.7,31.9,0.5,1.1,-
Christian Kabasele,Watford,be,28,D(C),188,86,19(2),1587,-,-,2,1,0.4,73.9,2.9,1,1.2,1.8,1,1.1,5,0.6,0.8,-,0.1,-,0.7,-,-,0.3,26.2,-,2.1,-
Craig Cathcart,Watford,nir,30,D(CR),188,73,35(1),3099,3,-,2,-,0.4,81.5,2.4,2,1.4,1.1,0.4,1.1,5,0.4,0.8,2,-,0.1,0.2,-,0.1,0.3,35.5,-,2.7,-
Isaac Success,Watford,ng,23,"AM(LR),FW",186,86,9(21),1039,1,1,4,-,1,71.3,1,-,0.5,0.1,0.8,-,0.4,0.1,-,-,0.7,0.5,1.6,0.4,0.8,1.5,11.6,-,0.3,-
Gerard Deulofeu,Watford,es,25,"AM(LR),FW",177,73,26(4),2083,10,5,3,-,2,77.4,0.1,3,0.4,0.5,0.5,-,0.1,0.7,-,-,1,1.6,0.4,1.1,2,2.2,23.9,0.2,0.5,0.1
Daryl Janmaat,Watford,nl,29,"D(R),M(R)",185,80,17(1),1522,-,2,3,-,0.6,75.8,1.1,-,2,1.8,0.9,0.4,3.3,0.5,0.3,-,0.7,0.7,0.1,0.1,0.6,0.8,33.3,0.8,2.6,-
Miguel Britos,Watford,uy,33,D(CL),188,82,2(1),185,-,-,-,-,-,79.7,1.7,-,1.3,1,1,1.7,3.3,0.7,0.3,-,-,0.3,0.3,-,-,0.3,19.7,-,1.7,-
Sebastian Prödl,Watford,at,32,D(C),194,92,0(1),14,-,-,-,-,-,100,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Etienne Capoue,Watford,fr,31,"D(C),M(CL)",189,80,33,2947,1,3,14,1,0.5,84.4,2,2,2.8,2.6,1.4,0.1,2.8,1.6,0.4,-,0.3,1,1.8,-,0.6,0.5,53,-,3.5,0.1
Domingos Quina,Watford,pt,19,DMC,179,72,3(5),335,1,-,-,-,0.6,85,0.3,-,1.1,0.4,0.9,-,0.1,1,-,-,0.3,0.6,0.8,-,0.6,0.9,28.4,0.1,1.9,-
Ben Foster,Watford,eng,36,GK,193,79,38,3420,-,-,1,-,-,44.8,0.5,1,0.1,0.1,0.1,-,1.2,0.1,-,-,0.1,-,0.2,-,-,-,30.3,-,9.6,-
Will Hughes,Watford,eng,24,M(CR),185,74,31(1),2436,2,4,5,-,1,76.4,0.7,-,2.3,0.8,1.7,-,0.7,1.1,0.2,-,0.9,0.8,2.2,-,1.6,1.8,30,0.1,0.5,-
José Holebas,Watford,gr,35,"D(L),M(L)",184,77,27(1),2394,3,6,12,1,0.6,68.5,2.2,-,2.4,0.8,1.2,0.4,2.9,0.9,0.3,-,1.4,0.8,0.5,0.1,0.9,1,29.8,1.5,1.6,-
Adam Masina,Watford,ma,25,"D(L),M(L)",189,78,11(3),1004,-,1,5,-,0.2,80.7,1.6,-,2.1,1.2,1.2,0.1,2.6,0.9,0.3,-,0.2,0.5,0.7,0.1,0.1,0.9,31.1,0.4,1.9,-
Adrian Mariappa,Watford,jm,32,D(CR),180,78,20(6),1924,-,-,3,-,0.3,82.3,2.3,1,1.3,1,0.7,0.7,4.5,0.6,0.6,-,0.2,-,0.2,-,0.2,0.2,34,-,2.2,-
Ken Sema,Watford,se,25,M(CLR),180,69,9(8),756,1,2,1,-,0.7,72.5,1.2,-,0.9,0.5,0.8,0.1,0.2,0.7,-,-,0.5,1.1,0.5,0.1,1.6,1.3,13.9,0.1,-,-
Nathaniel Chalobah,Watford,eng,24,DMC,187,80,3(6),267,-,-,2,-,0.2,75,0.4,-,0.3,0.6,0.6,-,0.8,0.6,0.1,-,0.1,-,0.3,-,0.3,0.9,12.4,0.1,0.4,-
Roberto Pereyra,Watford,ar,28,M(CLR),182,77,33,2825,6,1,3,-,1.7,83.2,0.1,1,0.6,0.7,0.8,-,0.6,0.5,-,-,1.1,1.2,1.1,0.1,2,2.5,34,0.2,1.4,-
Mamadou Sakho,Crystal Palace,fr,29,D(C),187,83,27,2417,-,-,2,-,0.1,88.6,1.9,-,0.9,1.5,0.2,0.6,4.9,0.3,0.6,-,0.2,0.3,0.5,-,0.2,0.4,48.9,-,2.2,-
Patrick van Aanholt,Crystal Palace,nl,28,"D(L),M(L)",176,74,36,3198,3,2,3,-,1.3,79.8,0.3,-,1.3,1.1,0.3,0.2,2.3,0.4,0.3,-,1,0.6,0.4,0.3,0.4,1,44.7,0.3,1.9,0.1
Bakary Sako,Crystal Palace,ml,31,"M(L),FW",183,85,0(4),26,-,-,-,-,-,80,-,-,0.5,-,0.3,-,-,-,-,-,-,-,-,0.3,0.5,0.5,2.5,-,0.3,-
Vicente Guaita,Crystal Palace,es,32,GK,190,81,20,1755,-,-,2,-,-,42.5,0.4,2,-,-,0.1,-,1,-,-,-,-,-,0.3,-,-,-,25,-,6.3,-
Jeffrey Schlupp,Crystal Palace,gh,26,"D(L),M(CL)",178,72,18(12),1667,4,1,1,-,0.9,75.9,1.8,1,1.4,0.6,0.8,-,0.7,0.6,0.3,-,0.5,0.7,0.5,-,0.8,1,21,0.1,0.5,-
Max Meyer,Crystal Palace,de,23,"M(CL),FW",173,67,15(14),1415,1,2,3,-,1.3,83.9,0.1,-,1.1,0.5,0.3,-,0.6,0.3,-,-,0.8,0.4,0.6,-,0.7,1,22.9,0.1,0.6,-
Pape Souaré,Crystal Palace,sn,29,"D(L),M(L)",178,69,0(1),1,-,-,-,-,-,100,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,3,-,1,-
James Tomkins,Crystal Palace,eng,30,D(CR),192,74,29,2563,1,1,6,-,0.8,83,3.1,-,1.2,1.2,0.6,0.6,6.2,0.4,0.3,-,0.2,0.1,0.4,-,0.1,0.3,38.3,-,4.3,-
James McArthur,Crystal Palace,sct,31,M(CLR),178,75,36(2),3072,3,6,7,-,0.9,79.3,1.3,1,2.2,1,1.6,0.1,1.2,1.3,0.6,-,0.8,0.5,1,0.1,0.9,1.4,36.8,0.1,1.7,0.1
Scott Dann,Crystal Palace,eng,32,D(C),188,76,7(3),661,-,1,1,-,0.6,72.7,2.6,-,0.6,0.5,0.4,0.3,4.4,0.4,1.2,-,0.2,0.3,-,-,0.1,0.1,26.4,-,1.4,-
Jordan Ayew,Crystal Palace,gh,27,"AM(CLR),FW",182,80,14(6),1187,1,2,3,-,1.4,77.7,1.6,1,1.9,0.4,1.6,-,0.3,0.7,-,-,0.8,0.6,1.3,0.5,1.6,2.4,13.3,-,0.3,-
Michy Batshuayi,Crystal Palace,be,25,FW,184,74,9(2),757,5,-,-,-,2.5,65,1.1,-,0.2,0.3,0.6,-,-,0.1,0.3,-,0.2,0.8,0.2,1.1,1.1,1.5,14.8,-,0.7,-
Connor Wickham,Crystal Palace,eng,26,"AM(L),FW",191,90,0(6),61,-,1,-,-,0.8,45.5,1.2,-,-,-,0.5,-,0.3,-,-,-,0.7,-,-,-,0.3,0.7,1.8,-,-,-
Luka Milivojevic,Crystal Palace,rs,28,DMC,186,80,38,3420,12,2,10,-,1.5,80,1.4,2,2.4,1.9,1.6,-,1.7,1.4,0.4,-,1.6,0.3,1,-,0.5,0.7,52.3,1.4,3.4,-
Jason Puncheon,Crystal Palace,eng,33,M(CLR),173,70,0(5),11,-,-,-,-,-,75,-,-,0.2,-,0.6,-,-,-,-,-,-,-,-,-,0.2,-,2.4,-,-,-
Christian Benteke,Crystal Palace,be,28,FW,190,83,9(7),813,1,1,1,-,1.6,56.9,5.6,1,0.3,-,1.1,-,0.9,0.2,0.1,-,0.6,0.3,0.6,0.6,0.9,1.7,14.9,-,0.4,-
Wilfried Zaha,Crystal Palace,ci,26,"AM(LR),FW",180,66,34,3041,10,5,8,1,2.1,77.3,0.3,6,1.1,0.3,1.3,-,-,0.6,-,-,1.6,3.4,3,0.5,4.2,3.6,29.6,0.3,0.7,0.1
Luke Dreher,Crystal Palace,eng,20,Midfielder,184,76,0(1),1,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
Aaron Wan-Bissaka,Crystal Palace,eng,21,D(R),183,72,35,3135,-,3,4,1,0.3,73,1.2,3,3.7,2.4,0.7,0.3,3.7,0.3,0.5,-,0.4,1.7,0.5,0.1,1.1,1.2,33.3,0.3,1,-
Cheikhou Kouyaté,Crystal Palace,sn,29,"D(CR),DMC",189,83,21(10),1897,-,2,3,-,0.6,80.1,2.1,-,1.9,0.5,1.1,0.1,1,0.8,0.4,-,0.5,0.4,0.5,0.1,0.7,0.8,24.7,-,0.6,-
Julian Speroni,Crystal Palace,ar,40,GK,186,87,1,90,-,-,-,-,-,37.5,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,32,-,10,-
Alexander Sørloth,Crystal Palace,no,23,FW,193,90,0(12),173,-,-,-,-,0.3,64.4,1.5,-,0.2,-,0.3,-,0.3,0.1,-,-,0.3,0.2,0.2,-,0.3,0.5,4.9,-,-,-
Martin Kelly,Crystal Palace,eng,29,D(CLR),191,77,12(1),1111,-,-,2,-,0.2,75.4,2.7,-,1.6,0.8,0.5,0.2,6.5,0.4,0.9,1,0.1,-,0.1,-,0.1,0.4,27.5,0.1,2.8,-
Andros Townsend,Crystal Palace,eng,27,"AM(LR),FW",181,77,34(4),3018,6,4,1,-,1.7,78.8,0.1,2,1.6,1,0.3,-,0.4,1.4,0.1,-,1.6,1.5,1.5,0.2,2,2.1,27,1,0.8,-
Wayne Hennessey,Crystal Palace,wls,32,GK,198,90,17(1),1576,-,-,-,-,-,46.7,0.6,1,-,-,-,-,0.9,0.1,-,-,-,-,0.1,-,-,0.1,25,-,6.5,-
Joel Ward,Crystal Palace,eng,29,"D(LR),DMC,M(R)",188,83,6(1),551,1,-,1,-,0.3,72.6,2.6,-,1.7,1.4,1.1,0.1,4.4,1,-,-,0.3,0.1,0.9,0.1,0.6,0.7,27.1,-,1.3,-
Jamaal Lascelles,Newcastle United,eng,25,D(C),188,89,32,2748,-,1,4,-,0.3,76.7,2.9,-,1,1.2,0.5,0.5,6.6,0.1,0.9,-,0.1,-,0.3,-,0.2,0.3,34.5,-,2.3,-
Matt Ritchie,Newcastle United,sct,29,"D(L),M(CLR)",172,76,35(1),2940,2,8,9,-,1.1,73.1,1,1,1.9,1.4,1.5,0.1,1.7,0.8,0.3,-,1.7,0.4,1.1,-,0.5,1.3,30.5,1.9,1.6,-
Martin Dubravka,Newcastle United,sk,30,GK,190,80,38,3420,-,-,1,-,-,53.4,0.4,1,0.1,-,-,-,0.9,0.1,-,-,-,-,0.1,-,-,-,27.2,-,7.4,-
Jacob Murphy,Newcastle United,eng,24,AM(LR),179,74,3(6),300,-,1,-,-,0.2,65.9,0.4,-,0.7,0.1,0.4,-,0.7,0.2,0.2,-,0.1,0.3,-,0.1,0.3,1.1,4.9,0.3,0.4,-
Isaac Hayden,Newcastle United,eng,24,DMC,185,79,21(4),1864,1,4,3,1,0.9,79.4,2.2,2,2.9,1.6,1.3,0.1,1.1,0.7,0.2,-,0.9,0.5,0.6,-,1,1.3,28.8,0.2,1,0.1
Joselu,Newcastle United,es,29,FW,192,80,5(11),587,2,-,1,-,1.1,62,2.7,-,0.9,0.2,0.3,-,0.9,0.3,-,-,0.1,0.1,0.4,0.3,1,1.1,13,-,0.3,0.1
Jonjo Shelvey,Newcastle United,eng,27,M(C),184,80,10(6),944,1,1,1,-,1.4,71,0.9,-,1.4,0.4,1,-,0.8,0.6,0.2,-,1.6,0.6,0.3,-,0.3,0.5,39.3,0.9,5.4,0.1
Salomón Rondón,Newcastle United,ve,29,FW,186,98,30(2),2609,11,7,1,-,2.8,69.9,4.6,1,0.3,0.2,0.7,-,1.2,0.6,0.1,-,1,0.6,0.8,0.6,2.4,3.1,23,0.1,0.3,0.1
Yoshinori Muto,Newcastle United,jp,26,FW,178,72,5(12),519,1,-,1,-,0.4,70.8,0.6,-,0.5,0.4,0.8,-,0.2,0.3,-,-,0.3,0.5,0.6,0.1,0.7,0.9,6.6,-,0.1,-
Kenedy,Newcastle United,br,23,"D(L),M(L)",182,77,14(11),1345,1,1,1,-,1.2,72.3,0.3,1,1.2,1.3,0.8,-,0.8,0.7,-,-,0.4,1.2,0.9,0.2,1.6,1.7,18.5,0.4,0.7,-
Fabian Schär,Newcastle United,ch,27,D(C),188,84,22(2),2004,4,1,12,-,1,68.1,2.7,6,2.5,2.8,1.2,0.4,5.7,1.1,0.7,-,0.5,0.6,0.8,-,0.4,0.5,41.4,0.1,5.6,-
DeAndre Yedlin,Newcastle United,us,26,"D(R),M(R)",172,75,28(1),2475,1,2,6,1,0.4,71.6,1,-,1.9,1,1.4,0.2,2.4,0.8,0.3,1,1,0.3,0.4,0.1,0.3,1.2,25.2,0.6,0.9,-
Ki Sung-yueng,Newcastle United,kr,30,DMC,189,75,14(4),1302,-,1,2,-,0.5,85.1,0.8,-,0.8,1.1,0.6,-,1.1,0.5,0.1,-,0.9,0.3,0.9,-,0.6,0.7,33.2,0.8,2.9,-
Ayoze Pérez,Newcastle United,es,25,"AM(CLR),FW",178,72,34(3),2928,12,2,2,-,1.5,75.9,0.7,3,1.6,1.1,1.2,-,0.8,1.2,0.1,-,1.2,1.2,1.1,0.2,2.1,2.7,21.1,0.1,0.7,0.1
Christian Atsu,Newcastle United,gh,27,AM(CLR),165,65,15(13),1488,1,-,2,-,1,82.2,0.4,-,0.9,0.3,0.5,-,0.5,0.4,0.1,-,0.6,0.9,0.9,0.1,1.1,1.7,13.7,0.3,0.4,-
Miguel Almirón,Newcastle United,py,25,"AM(CL),FW",174,70,9(1),763,-,-,-,-,1.9,74.7,0.1,-,2,0.8,0.6,-,0.4,0.6,0.1,-,1.3,0.7,1.7,0.4,0.6,2.2,24.1,0.7,0.8,0.1
Sean Longstaff,Newcastle United,eng,21,M(C),180,65,8(1),688,1,-,2,-,0.9,80.9,1,-,1.9,1.1,0.8,-,0.8,1.7,0.4,-,0.6,0.6,0.9,-,0.7,0.4,32.6,0.2,3.3,-
Javier Manquillo,Newcastle United,es,25,"D(LR),M(R)",178,76,12(6),1100,-,3,2,-,0.1,69.9,1.1,-,1.5,0.9,0.7,0.1,2.7,0.3,0.1,-,0.5,0.3,0.4,0.1,0.5,1.2,19.6,0.2,0.7,-
Federico Fernández,Newcastle United,ar,30,D(C),190,83,17(2),1484,-,1,2,-,0.2,78.9,2,-,0.8,1.3,0.6,0.3,5.4,0.4,0.6,-,0.3,-,0.4,0.1,0.2,0.4,32.2,0.1,3.8,-
Antonio Barreca,Newcastle United,it,24,D(L),183,70,0(1),4,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-
Florian Lejeune,Newcastle United,fr,28,D(C),189,89,12,1055,-,-,-,-,0.6,76.2,2.6,-,2.1,1.8,0.9,0.3,3.7,1.1,0.4,-,0.5,0.3,0.4,-,-,0.8,46.9,0.1,6.8,0.1
Paul Dummett,Newcastle United,wls,27,D(CL),183,82,21(5),1987,-,-,1,-,0.3,71.1,2.3,-,1.3,1.4,0.4,0.4,4.7,0.5,0.4,-,0.2,0.1,0.4,-,-,0.4,29.2,0.3,2,-
Ciaran Clark,Newcastle United,ie,29,D(CL),185,88,9(2),858,3,-,1,-,0.6,75,3.9,1,1.8,1.1,0.5,0.4,5.2,0.3,0.6,-,0.2,-,0.5,-,0.2,0.2,27.6,-,1.5,-
Mohamed Diamé,Newcastle United,sn,32,M(CLR),184,86,24(5),2166,-,-,3,-,0.7,77.2,1.2,-,2.7,1,1.2,-,1.2,1.3,0.3,-,0.1,0.6,0.7,-,1.3,1.1,25.3,-,1.3,-
Simon Francis,Bournemouth,eng,34,D(CR),183,90,13(4),1230,-,2,1,-,0.2,73.3,2.8,-,1.5,1.1,0.6,0.2,3.9,0.7,0.4,-,0.6,0.3,0.5,0.2,0.4,0.8,38.5,0.6,1.8,-
Mark Travers,Bournemouth,ie,20,Goalkeeper,0,0,2,180,-,-,-,-,-,65.1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,21.5,-,3.5,-
Jack Simpson,Bournemouth,eng,22,D(C),178,83,4(2),403,-,-,-,-,0.3,82.2,2.3,-,1.5,1.5,0.5,0.7,3.7,0.5,0.7,1,-,-,0.2,-,0.3,0.2,39.3,-,1.3,-
Andrew Surman,Bournemouth,za,32,M(CL),178,73,16(2),1439,-,-,2,-,0.5,87,1.1,-,0.6,0.6,0.4,0.1,1.8,0.6,0.4,-,0.6,0.2,0.3,-,0.2,0.8,46.6,0.1,2.7,0.1
Steve Cook,Bournemouth,eng,28,D(C),185,82,31,2787,1,1,3,-,0.7,79.3,4.1,1,1.2,1.6,0.6,0.7,6.4,0.2,0.7,1,0.4,0.2,0.9,-,-,0.2,48.4,0.1,3.4,-
Emerson Hyndman,Bournemouth,us,23,M(CL),170,61,0(1),37,-,-,-,-,-,69.6,-,-,6,1,-,-,-,1,-,-,-,-,-,-,1,1,23,-,-,-
Sam Surridge,Bournemouth,eng,20,Forward,191,77,0(2),11,-,-,-,-,1,60,-,-,0.5,-,-,-,-,-,-,-,0.5,-,0.5,-,-,-,2.5,-,-,-
Jefferson Lerma,Bournemouth,co,24,"D(R),DMC",179,70,29(1),2511,2,-,12,-,1,83.2,2.5,-,1.5,1.8,1.4,-,2.8,1.3,0.6,1,0.5,0.7,1.7,0.1,0.7,0.8,52,0.1,2.3,0.1
Jordon Ibe,Bournemouth,eng,23,M(CLR),176,81,9(10),796,1,1,1,-,0.5,78,0.1,-,0.3,0.2,0.4,-,0.2,0.3,-,-,0.5,1.4,0.5,-,0.9,1.2,13.2,0.5,0.3,0.1
Adam Smith,Bournemouth,eng,28,"D(LR),M(R)",180,78,25,2073,1,1,5,1,0.3,82,1.1,-,1.8,1.2,0.7,0.2,2.3,0.9,0.3,-,0.4,0.8,1.7,-,0.4,1,34.9,0.2,0.9,-
Joshua King,Bournemouth,no,27,"AM(CLR),FW",180,74,34(1),2974,12,3,3,-,2.1,72,2.5,5,0.9,0.2,1.5,-,0.4,0.6,0.1,-,1.1,1.9,1.3,0.2,2.7,3.2,23,0.2,0.3,0.1
Lys Mousset,Bournemouth,fr,23,FW,184,80,1(23),351,1,-,1,-,0.5,71.9,0.4,-,0.1,-,0.3,-,0.1,0.1,-,-,0.2,0.4,0.2,0.2,0.2,0.8,5,-,-,-
Tyrone Mings,Bournemouth,eng,26,D(CL),191,77,2(3),142,-,-,-,-,-,83.9,0.6,-,0.8,1.2,-,0.2,1.6,0.2,0.4,-,0.2,0.4,0.2,-,0.2,0.4,17.4,0.2,0.4,-
Asmir Begovic,Bournemouth,ba,32,GK,199,101,24,2160,-,-,-,-,-,60.8,0.5,-,-,-,-,-,0.8,0.1,-,-,-,-,0.1,-,-,0.1,22.1,-,5.7,-
Diego Rico,Bournemouth,es,26,D(L),183,76,5(7),606,-,-,1,-,0.8,72.6,0.6,-,1.2,1.2,0.8,0.1,1.4,0.7,0.2,-,0.9,0.3,0.9,-,0.4,0.3,23.8,0.9,0.7,-
Dominic Solanke,Bournemouth,eng,21,FW,187,80,2(8),342,-,1,-,-,1.1,71.7,1.5,-,0.8,0.2,0.2,0.1,0.9,0.7,0.1,-,0.8,1,0.9,0.1,0.9,1.5,9.9,-,0.2,-
Junior Stanislas,Bournemouth,eng,29,M(CLR),183,76,11(12),1027,2,3,1,-,1.5,77.4,0.4,-,0.5,0.1,0.3,-,0.7,0.2,-,-,0.7,0.5,0.4,0.1,0.4,0.9,21.6,0.3,0.5,0.1
Artur Boruc,Bournemouth,pl,39,GK,193,87,12,1080,-,-,2,-,-,57,0.2,1,0.1,-,-,-,0.4,0.2,-,-,-,-,-,-,-,-,23.8,-,5.8,-
Nathaniel Clyne,Bournemouth,eng,28,"D(LR),M(R)",175,67,13(1),1146,-,1,2,-,0.1,75.2,0.4,-,2.4,1.1,0.6,0.1,1.9,0.9,0.2,-,0.3,0.3,0.2,-,0.7,0.6,32.8,0.3,1.1,0.1
Chris Mepham,Bournemouth,wls,21,D(C),191,84,10(3),850,-,1,1,-,0.2,79.8,2.4,-,0.7,1.1,0.5,0.4,4.4,0.3,0.4,-,0.2,0.2,0.3,-,0.2,0.4,31.2,-,1.3,-
Nathan Aké,Bournemouth,nl,24,"D(CL),DMC",180,75,38,3412,4,-,3,-,0.7,86,2.3,1,1.7,0.8,0.7,0.8,6.1,0.3,0.9,-,0.2,0.1,0.6,0.1,0.2,0.5,44.6,0.1,1.9,-
Callum Wilson,Bournemouth,eng,27,FW,180,66,29(1),2535,14,9,3,-,2.2,67.1,1.5,4,0.3,0.1,1.4,-,0.5,0.3,0.1,-,1,0.6,1.1,0.6,1.5,3.2,14.7,0.2,0.1,-
Dan Gosling,Bournemouth,eng,29,M(C),183,79,19(6),1738,2,1,8,-,0.8,79.6,1.4,-,2.3,0.8,1.2,-,1.8,1,0.4,-,0.4,0.5,1,0.1,0.8,0.8,38.8,-,1.9,0.1
Ryan Fraser,Bournemouth,sct,25,M(CLR),163,70,35(3),3173,7,14,2,-,1.3,76.9,0.3,5,0.5,0.6,0.2,-,0.5,0.6,0.2,-,2.4,0.6,1.8,0.3,0.7,1.4,31.4,2,0.7,0.1
David Brooks,Bournemouth,wls,22,AM(CR),173,62,29(1),2278,7,5,3,-,1.4,73.1,0.2,1,1.2,0.8,0.5,-,0.8,0.8,0.2,-,1,0.8,1.5,0.1,1.4,1.9,28.5,0.3,0.7,0.2
Jermain Defoe,Bournemouth,eng,36,"AM(R),FW",171,65,0(4),22,-,-,-,-,0.3,33.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0.8,-,-,-
Charlie Daniels,Bournemouth,eng,32,"D(L),M(L)",178,75,17(4),1586,1,-,4,-,0.6,78.7,1.4,-,1.2,1,0.3,0.3,2,0.4,0.2,-,0.5,0.6,0.3,-,0.3,0.6,40,0.4,1.9,-
Lewis Cook,Bournemouth,eng,22,M(CL),175,71,8(5),722,-,-,2,-,0.3,83.2,0.4,-,1,0.6,0.9,-,0.5,0.8,0.2,-,0.2,0.8,0.4,-,0.7,0.9,30.2,-,1.8,0.1
Chris Wood,Burnley,nz,27,FW,191,81,29(9),2596,10,2,2,-,1.6,64.8,3.5,2,0.3,0.1,0.7,-,0.7,0.3,0.1,-,0.6,0.2,0.6,1.4,1.2,2.4,15.8,0.1,0.1,0.1
